AER,TAKE OFF,DIST,HV
SBGL,1,337,1.383
SBAE,52,15704,70.45
SBAE,53,11660,48.6167
SBAE,47,4183,29.7
SBAQ,15,2535,11.4333
SBAU,81,32157,101.4
SBCF,13,5408,14.45
SBCF,31,11222,31.7833
SBCF,150,74550,192.433
SBCF,25,5600,22.4333
SBCF,103,16068,84.0667
SBCF,237,118263,291.983
SBCF,100,32500,121.25
SBCF,171,64125,183.15
SBCF,38,16378,53.5167
SBCF,171,89604,224.567
SBCF,109,49486,166.433
SBCF,27,11286,39.6167
SBCF,9,2421,9.76667
SBCF,144,56304,153.417
SBCP,21,4935,21.1
SBDN,73,32777,104.267
SBGL,31,11222,32.1167
SBGL,1,235,1.61667
SBGL,99,39402,114.633
SBGL,20,3220,16.4
SBGL,22,11044,41.5833
SBGL,22,5984,27.85
SBGR,51,15402,65.3833
SBGR,148,73556,176.917
